age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
58,6,True,False,0,0,1,0,HWH,6
39,11,True,True,0,0,1,0,HOH,7
42,11,False,True,0,0,0,1,H,3
40,7,False,True,0,1,0,0,HOH,1
39,7,True,True,1,0,0,0,HOH,7
51,11,True,True,0,0,0,1,HWH,0
50,11,False,True,0,0,0,1,HWH,0
75,4,False,True,1,0,0,0,HOH,0
48,4,True,False,0,0,0,1,HWH,0
48,11,True,True,0,0,0,1,HOH,3
48,11,False,True,0,1,0,0,H,4
18,11,False,False,0,0,0,1,HOH,5
50,7,True,False,0,0,0,1,HOH,3
34,11,False,True,0,0,0,1,HOH,4
36,11,True,True,0,0,0,1,HOH,5
46,8,True,False,0,0,0,1,HOH,6
48,7,True,True,0,0,0,1,HWH,1
47,2,False,True,0,0,0,1,HOH,2
62,7,False,False,0,1,0,0,HWH,5
58,5,False,False,0,0,0,1,HWOH,5
43,10,True,True,0,0,0,1,HWOWH,4
55,6,False,False,0,0,0,1,HWOH,5
55,6,False,False,0,0,0,1,HWH,7
46,7,True,True,0,0,0,1,HOH,1
43,7,False,False,1,0,0,0,HOH,7
58,9,False,True,0,0,0,1,HWH,5
56,4,False,True,1,0,0,0,HWH,3
26,4,False,True,0,0,0,1,HWH,0
88,6,True,True,0,1,0,0,HWH,1
46,6,False,True,0,0,0,1,HWH,4
47,6,True,True,0,1,0,0,HWH,6
38,11,False,True,0,0,0,1,HOH,7
38,11,True,True,0,0,0,1,HOH,4
48,8,True,True,0,0,0,1,HOH,6
38,8,False,True,0,0,0,1,HWH,4
69,5,False,False,1,0,0,0,HOWOH,7
20,1,False,False,0,1,0,0,HWH,2
58,1,False,False,1,0,0,0,HWH,5
54,10,False,True,1,0,0,0,HWH,2
56,10,True,True,0,0,0,1,HOH,2
20,10,False,False,1,0,0,0,HOH,5
61,7,True,True,0,0,0,1,HWH,6
59,7,False,False,1,0,0,0,HOH,5
52,10,False,True,0,0,0,1,HWH,5
52,10,True,True,0,0,0,1,HWH,4
48,6,False,True,0,0,0,1,HWOH,6
32,11,True,True,1,0,0,0,HOH,6
26,11,False,True,0,0,0,1,HOH,7
65,8,True,True,1,0,0,0,HWH,7
48,9,True,False,0,0,1,0,HWH,0
48,9,False,True,0,0,0,1,HWH,1
31,9,False,True,0,0,0,1,HWH,4
41,8,True,True,0,0,0,1,HOH,2
41,11,True,True,0,0,0,1,HWH,0
49,10,True,True,0,0,0,1,HWH,2
46,10,False,False,0,0,0,1,HOH,0
40,8,False,True,0,0,0,1,HWOWH,0
50,10,True,False,0,0,0,1,HWH,3
30,6,False,True,0,0,0,1,HOH,5
34,7,True,False,0,0,1,0,HWH,5
33,4,True,True,0,0,0,1,HWH,1
36,10,True,True,0,0,0,1,HOWOH,2
35,10,False,True,0,0,0,1,HWH,7
52,7,True,True,1,0,0,0,HWH,3
59,8,True,False,1,0,0,0,HOH,4
47,11,True,True,0,0,0,1,HWH,3
48,11,False,True,0,0,0,1,HWH,2
65,6,False,True,0,1,0,0,HWH,5
58,6,True,False,0,0,1,0,HWH,5
64,9,False,True,0,0,0,1,HOH,3
64,9,True,False,0,0,0,1,HWH,3
35,9,True,True,0,0,0,1,HOH,4
65,7,True,True,0,0,0,1,H,2
37,6,False,True,0,1,0,0,HWH,2
32,6,True,True,0,1,0,0,HWH,4
27,4,False,True,0,0,0,1,HOH,4
65,10,True,True,0,0,0,1,HWH,5
52,10,False,True,0,0,0,1,HOH,2
73,9,False,True,0,0,0,1,HOWOH,5
55,2,True,False,0,0,0,1,HOH,5
44,11,True,True,0,0,0,1,HOH,2
44,11,False,False,0,1,0,0,H,2
61,11,True,True,0,0,0,1,HWH,6
31,8,True,True,0,0,0,1,HWH,5
56,5,True,False,0,1,0,0,HOH,5
61,11,True,True,0,0,0,1,HOH,3
25,3,False,False,0,0,0,1,H,4
28,3,True,False,0,0,0,1,HOH,7
43,8,True,True,0,0,0,1,HWH,0
46,8,False,True,0,0,0,1,HOH,7
59,9,True,False,0,0,0,1,H,2
26,9,False,True,0,0,0,1,HWH,5
51,7,False,False,0,0,0,1,HWOH,0
62,11,True,True,0,0,0,1,HOH,1
57,9,False,True,0,0,0,1,HWH,6
60,9,True,True,0,0,0,1,HWH,0
24,9,True,True,1,0,0,0,HWH,0
37,10,False,True,0,0,0,1,H,3
61,9,True,True,0,0,0,1,HWOH,1
44,9,False,True,0,0,0,1,HOH,5
36,7,False,False,0,1,0,0,HOH,1
39,7,True,False,0,0,0,1,HWH,1
72,3,False,False,1,0,0,0,HWH,0
29,6,False,True,1,0,0,0,HOWOH,1
35,3,True,False,0,1,0,0,H,7
27,4,False,True,0,0,0,1,HOH,5
30,5,False,True,0,0,0,1,HWOH,7
32,6,False,True,0,0,0,1,HWH,5
34,6,True,False,0,0,1,0,HOH,5
35,8,False,True,0,0,0,1,HWH,2
42,8,True,True,0,0,0,1,HOH,2
34,8,True,True,0,0,0,1,HWH,7
64,6,False,False,0,0,0,1,HOH,4
52,6,True,False,0,0,0,1,HWH,4
53,6,True,False,1,0,0,0,HOH,4
60,11,False,True,0,0,0,1,HOH,6
68,11,True,False,0,0,0,1,HOH,7
25,11,False,True,0,0,0,1,HOH,1
32,8,False,True,0,0,0,1,HWOH,0
