HOUSEID,PERSONID,WTTRDFIN,TOUR,TOURTYPE,STOPS,TOUR_FLG,BEGNTIME,DIST_M,TIME_M,MODE_D,MODE_T,TOT_CMIN,TOT_MILS,TOT_DWEL,TOT_DWEL2,VMT,PMT_POV,PMT_WALK,PMT_TRAN,PMT_OTHR,ENDTTIME,uniquePersonId
40320990,1,285130.268344268,1,HW,0,0,1020,5.138,15,3,3,15,5.138,0,535,5.138,5.138,0.0,0.0,0.0,1035,40320990_1
40320990,1,285130.268344268,2,WH,0,0,1930,5.0680000000000005,15,3,3,15,5.0680000000000005,0,0,5.0680000000000005,5.0680000000000005,0.0,0.0,0.0,1945,40320990_1
40320990,2,285295.256834755,1,HH,0,0,700,4.327,60,1,1,60,4.327,0,30,0.0,0.0,4.327,0.0,0.0,800,40320990_2
40320990,2,285295.256834755,2,HO,1,1,830,37.062,45,13,13,85,55.982,20,305,18.92,18.92,0.0,0.0,37.062,1015,40320990_2
40320990,2,285295.256834755,3,OO,1,1,1500,37.317,45,13,13,60,44.368,5,210,7.051,7.051,0.0,0.0,37.317,1605,40320990_2
40320990,2,285295.256834755,4,OH,0,0,1930,22.912,30,4,4,30,22.912,0,0,22.912,22.912,0.0,0.0,0.0,2000,40320990_2
40323389,2,1133907.4491273998,1,HW,0,0,745,35.027,60,3,3,60,35.027,0,552,35.027,35.027,0.0,0.0,0.0,845,40323389_2
40323389,2,1133907.4491273998,2,WH,0,0,1757,34.135,63,3,3,63,34.135,0,0,34.135,34.135,0.0,0.0,0.0,1900,40323389_2
40323839,1,840636.7816760341,1,HW,0,0,1350,81.06,70,3,3,70,81.06,0,0,81.06,81.06,0.0,0.0,0.0,1500,40323839_1
40324831,1,1289046.34419948,1,HW,0,0,545,5.722,11,3,3,11,5.722,0,594,5.722,5.722,0.0,0.0,0.0,556,40324831_1
40324831,1,1289046.34419948,2,WH,0,0,1550,5.742000000000001,15,3,3,15,5.742000000000001,0,0,5.742000000000001,5.742000000000001,0.0,0.0,0.0,1605,40324831_1
40324831,2,1505465.73584267,1,HO,0,0,850,1.801,5,4,4,5,1.801,0,80,1.801,1.801,0.0,0.0,0.0,855,40324831_2
40324831,2,1505465.73584267,2,OO,1,1,1015,8.548,25,4,4,35,9.43,10,45,9.43,9.43,0.0,0.0,0.0,1100,40324831_2
40324831,2,1505465.73584267,3,OH,4,1,1135,8.443999999999999,30,4,4,58,14.802999999999999,35,35,14.802999999999999,14.802999999999999,0.0,0.0,0.0,1308,40324831_2
40324831,3,2950502.2971547996,1,HO,0,0,800,29.736,55,3,3,55,29.736,0,155,29.736,29.736,0.0,0.0,0.0,855,40324831_3
40324831,3,2950502.2971547996,2,OH,0,0,1130,29.97,35,3,3,35,29.97,0,165,29.97,29.97,0.0,0.0,0.0,1205,40324831_3
40324831,3,2950502.2971547996,3,HW,0,0,1450,5.722,10,3,3,10,5.722,0,400,5.722,5.722,0.0,0.0,0.0,1500,40324831_3
40324831,3,2950502.2971547996,4,WH,0,0,2140,5.742000000000001,15,3,3,15,5.742000000000001,0,0,5.742000000000001,5.742000000000001,0.0,0.0,0.0,2155,40324831_3
40329574,2,1230790.43863667,1,HW,0,0,1400,3.3,10,5,5,10,3.3,0,10,3.3,3.3,0.0,0.0,0.0,1410,40329574_2
40329574,2,1230790.43863667,2,WW,1,0,1420,3.3,10,5,5,20,5.886,5,20,5.886,5.886,0.0,0.0,0.0,1445,40329574_2
40329574,2,1230790.43863667,3,WH,1,1,1500,3.202,15,5,5,20,5.16,10,10,5.16,5.16,0.0,0.0,0.0,1530,40329574_2
40330889,1,640703.68499163,1,HW,0,0,510,80.786,103,3,3,103,80.786,0,538,80.786,80.786,0.0,0.0,0.0,653,40330889_1
40330889,1,640703.68499163,2,WH,3,1,1551,40.107,59,3,3,134,85.336,20,20,85.336,85.336,0.0,0.0,0.0,1825,40330889_1
40344291,1,700420.856573128,1,HH,5,1,1130,1.881,10,6,6,37,6.622999999999999,293,293,6.622999999999999,6.622999999999999,0.0,0.0,0.0,1255,40344291_1
40344291,1,700420.856573128,2,HH,1,0,1700,1.079,5,6,6,10,2.157,10,10,2.157,2.157,0.0,0.0,0.0,1720,40344291_1
40345744,1,387263.950131393,1,HW,0,0,600,38.068000000000005,60,3,3,60,38.068000000000005,0,570,38.068000000000005,38.068000000000005,0.0,0.0,0.0,700,40345744_1
40345744,1,387263.950131393,2,WO,0,0,1630,33.866,45,3,3,45,33.866,0,90,33.866,33.866,0.0,0.0,0.0,1715,40345744_1
40345744,1,387263.950131393,3,OH,0,0,1845,3.997,15,3,3,15,3.997,0,0,3.997,3.997,0.0,0.0,0.0,1900,40345744_1
40345744,2,452282.11559139396,1,HW,1,1,615,31.598000000000003,30,3,3,40,33.345,605,605,33.345,33.345,0.0,0.0,0.0,700,40345744_2
40345744,2,452282.11559139396,2,WH,0,0,1700,32.031,60,3,3,60,32.031,0,0,32.031,32.031,0.0,0.0,0.0,1800,40345744_2
40354272,1,498363.49467617297,1,HO,0,0,1456,4.328,12,3,3,12,4.328,0,69,0.0,4.328,0.0,0.0,0.0,1508,40354272_1
40354272,1,498363.49467617297,2,OO,2,1,1617,4.837,18,3,3,31,8.526,45,45,4.837,8.526,0.0,0.0,0.0,1655,40354272_1
40354272,1,498363.49467617297,3,OH,0,0,1733,3.987,14,3,3,14,3.987,0,0,3.987,3.987,0.0,0.0,0.0,1747,40354272_1
40364060,1,1220332.88096021,1,HO,1,1,830,17.272000000000002,30,3,1,60,18.272000000000002,170,170,17.272000000000002,17.272000000000002,1.0,0.0,0.0,1000,40364060_1
40364060,1,1220332.88096021,2,OO,0,0,1220,3.265,10,3,3,10,3.265,0,45,3.265,3.265,0.0,0.0,0.0,1230,40364060_1
40364060,1,1220332.88096021,3,OO,0,0,1315,1.6669999999999998,5,3,3,5,1.6669999999999998,0,40,1.6669999999999998,1.6669999999999998,0.0,0.0,0.0,1320,40364060_1
40364060,1,1220332.88096021,4,OH,0,0,1400,14.652000000000001,30,3,3,30,14.652000000000001,0,0,14.652000000000001,14.652000000000001,0.0,0.0,0.0,1430,40364060_1
40364060,2,1221039.0174258002,1,HH,2,1,730,5.439,10,3,3,21,10.88,99,99,10.88,10.88,0.0,0.0,0.0,810,40364060_2
40364060,2,1221039.0174258002,2,HO,0,0,930,17.272000000000002,30,3,3,30,17.272000000000002,0,140,0.0,17.272000000000002,0.0,0.0,0.0,1000,40364060_2
40364060,2,1221039.0174258002,3,OO,0,0,1220,3.265,10,3,3,10,3.265,0,45,0.0,3.265,0.0,0.0,0.0,1230,40364060_2
40364060,2,1221039.0174258002,4,OO,0,0,1315,1.6669999999999998,5,3,3,5,1.6669999999999998,0,40,0.0,1.6669999999999998,0.0,0.0,0.0,1320,40364060_2
40364060,2,1221039.0174258002,5,OH,0,0,1400,14.652000000000001,30,3,3,30,14.652000000000001,0,0,0.0,14.652000000000001,0.0,0.0,0.0,1430,40364060_2
40365882,1,808559.9705747829,1,HW,0,0,720,17.299,31,6,6,31,17.299,0,494,17.299,17.299,0.0,0.0,0.0,751,40365882_1
40365882,1,808559.9705747829,2,WH,1,1,1605,15.741,30,6,6,35,17.486,7,72,17.486,17.486,0.0,0.0,0.0,1647,40365882_1
40365882,1,808559.9705747829,3,HO,0,0,1752,3.6639999999999997,10,6,6,10,3.6639999999999997,0,101,3.6639999999999997,3.6639999999999997,0.0,0.0,0.0,1802,40365882_1
40365882,1,808559.9705747829,4,OH,0,0,1943,3.542,12,6,6,12,3.542,0,0,3.542,3.542,0.0,0.0,0.0,1955,40365882_1
40366121,1,4669634.97574655,1,OO,0,0,1450,6.961,20,4,4,20,6.961,0,140,6.961,6.961,0.0,0.0,0.0,1510,40366121_1
40366121,1,4669634.97574655,2,OO,2,1,1730,6.0360000000000005,25,4,4,40,10.19,20,20,10.19,10.19,0.0,0.0,0.0,1830,40366121_1
40366121,2,4666934.48911973,1,OO,0,0,1130,2.5140000000000002,5,4,4,5,2.5140000000000002,0,100,2.5140000000000002,2.5140000000000002,0.0,0.0,0.0,1135,40366121_2
40366121,2,4666934.48911973,2,OO,0,0,1315,2.151,5,4,4,5,2.151,0,40,2.151,2.151,0.0,0.0,0.0,1320,40366121_2
40366121,2,4666934.48911973,3,OO,2,1,1400,6.961,24,4,1,64,9.052999999999999,1,146,0.0,6.961,2.092,0.0,0.0,1510,40366121_2
40366121,2,4666934.48911973,4,OO,0,0,1730,6.0360000000000005,25,4,4,25,6.0360000000000005,0,0,0.0,6.0360000000000005,0.0,0.0,0.0,1755,40366121_2
40366995,1,405851.41422817897,1,HH,1,0,600,0.9159999999999999,5,6,6,9,1.0590000000000002,291,291,1.0590000000000002,1.0590000000000002,0.0,0.0,0.0,610,40366995_1
40366995,1,405851.41422817897,2,HO,0,0,1100,8.828,20,6,6,20,8.828,0,190,8.828,8.828,0.0,0.0,0.0,1120,40366995_1
40366995,1,405851.41422817897,3,OH,0,0,1430,8.429,20,6,6,20,8.429,0,190,8.429,8.429,0.0,0.0,0.0,1450,40366995_1
40366995,1,405851.41422817897,4,HH,0,0,1800,0.932,10,6,6,10,0.932,0,0,0.932,0.932,0.0,0.0,0.0,1810,40366995_1
40368439,1,1243311.70123347,1,HW,0,0,530,41.523,150,15,15,150,41.523,0,480,0.0,0.0,0.0,41.523,0.0,800,40368439_1
40368439,1,1243311.70123347,2,WH,0,0,1600,41.678000000000004,105,15,15,105,41.678000000000004,0,0,0.0,0.0,0.0,41.678000000000004,0.0,1745,40368439_1
40368439,2,1024788.20327096,1,HH,1,0,800,1.044,20,1,1,39,2.088,231,231,0.0,0.0,2.088,0.0,0.0,840,40368439_2
40368439,2,1024788.20327096,2,HO,0,0,1230,12.790999999999999,30,3,3,30,12.790999999999999,0,90,12.790999999999999,12.790999999999999,0.0,0.0,0.0,1300,40368439_2
40368439,2,1024788.20327096,3,OH,0,0,1430,13.187000000000001,30,3,3,30,13.187000000000001,0,0,13.187000000000001,13.187000000000001,0.0,0.0,0.0,1500,40368439_2
40374494,1,1855018.41624515,1,HW,0,0,900,3.352,20,3,3,20,3.352,0,160,3.352,3.352,0.0,0.0,0.0,920,40374494_1
40374494,1,1855018.41624515,2,WO,0,0,1200,2.083,20,3,3,20,2.083,0,130,2.083,2.083,0.0,0.0,0.0,1220,40374494_1
40374494,1,1855018.41624515,3,OW,0,0,1430,1.975,15,3,3,15,1.975,0,195,1.975,1.975,0.0,0.0,0.0,1445,40374494_1
40374494,1,1855018.41624515,4,WO,1,1,1800,2.285,15,3,3,25,3.048,5,215,3.048,3.048,0.0,0.0,0.0,1830,40374494_1
40374494,1,1855018.41624515,5,OH,0,0,2200,2.665,15,3,3,15,2.665,0,0,2.665,2.665,0.0,0.0,0.0,2215,40374494_1
40374968,1,6237947.57068619,1,HH,1,0,1000,4.067,10,3,3,20,8.047,100,100,8.047,8.047,0.0,0.0,0.0,1035,40374968_1
40374968,1,6237947.57068619,2,HH,1,0,1200,1.69,10,3,3,20,3.238,20,150,3.238,3.238,0.0,0.0,0.0,1240,40374968_1
40374968,1,6237947.57068619,3,HO,0,0,1450,3.574,12,3,3,12,3.574,0,63,3.574,3.574,0.0,0.0,0.0,1502,40374968_1
40374968,1,6237947.57068619,4,OO,0,0,1605,1.472,8,3,3,8,1.472,0,62,1.472,1.472,0.0,0.0,0.0,1613,40374968_1
40374968,1,6237947.57068619,5,OO,0,0,1715,0.08,1,3,3,1,0.08,0,64,0.08,0.08,0.0,0.0,0.0,1716,40374968_1
40374968,1,6237947.57068619,6,OO,0,0,1820,0.59,10,3,3,10,0.59,0,60,0.59,0.59,0.0,0.0,0.0,1830,40374968_1
40374968,1,6237947.57068619,7,OO,0,0,1930,2.32,15,3,3,15,2.32,0,0,2.32,2.32,0.0,0.0,0.0,1945,40374968_1
40381128,2,567263.4860029371,1,HW,0,0,750,1.9180000000000001,10,4,4,10,1.9180000000000001,0,600,1.9180000000000001,1.9180000000000001,0.0,0.0,0.0,800,40381128_2
40381128,2,567263.4860029371,2,WH,0,0,1800,1.65,10,4,4,10,1.65,0,0,1.65,1.65,0.0,0.0,0.0,1810,40381128_2
40381744,1,3028908.07630728,1,HW,2,1,710,18.319000000000003,40,3,3,49,21.708000000000002,311,311,3.389,21.708000000000002,0.0,0.0,0.0,810,40381744_1
40381744,1,3028908.07630728,2,WW,1,0,1310,0.23,10,1,1,20,0.46,15,250,0.0,0.0,0.46,0.0,0.0,1345,40381744_1
40381744,1,3028908.07630728,3,WH,1,1,1740,19.295,55,3,3,67,22.949,5,5,3.654,22.949,0.0,0.0,0.0,1852,40381744_1
40381744,2,3030660.73124019,1,WH,0,0,920,5.119,15,5,5,15,5.119,0,190,5.119,5.119,0.0,0.0,0.0,935,40381744_2
40381744,2,3030660.73124019,2,HH,1,0,1245,2.989,8,5,5,15,5.975,6,345,5.975,5.975,0.0,0.0,0.0,1306,40381744_2
40381744,2,3030660.73124019,3,HW,0,0,1845,5.111000000000001,12,5,5,12,5.111000000000001,0,0,5.111000000000001,5.111000000000001,0.0,0.0,0.0,1857,40381744_2
40383033,1,432816.658521311,1,OH,0,0,845,377.93300000000005,420,3,3,420,377.93300000000005,0,180,0.0,377.93300000000005,0.0,0.0,0.0,1545,40383033_1
40383033,1,432816.658521311,2,HO,0,0,1845,19.234,30,3,3,30,19.234,0,90,19.234,19.234,0.0,0.0,0.0,1915,40383033_1
40383033,1,432816.658521311,3,OH,0,0,2045,19.039,30,3,3,30,19.039,0,0,19.039,19.039,0.0,0.0,0.0,2115,40383033_1
40383033,2,370596.764902951,1,OH,0,0,845,377.93300000000005,420,3,3,420,377.93300000000005,0,180,377.93300000000005,377.93300000000005,0.0,0.0,0.0,1545,40383033_2
40383033,2,370596.764902951,2,HO,0,0,1845,19.234,30,3,3,30,19.234,0,90,0.0,19.234,0.0,0.0,0.0,1915,40383033_2
40383033,2,370596.764902951,3,OH,0,0,2045,19.039,30,3,3,30,19.039,0,0,0.0,19.039,0.0,0.0,0.0,2115,40383033_2
40383033,3,848260.119649415,1,OH,0,0,845,377.93300000000005,420,3,3,420,377.93300000000005,0,180,0.0,377.93300000000005,0.0,0.0,0.0,1545,40383033_3
40383033,3,848260.119649415,2,HO,0,0,1845,19.234,30,3,3,30,19.234,0,90,0.0,19.234,0.0,0.0,0.0,1915,40383033_3
40383033,3,848260.119649415,3,OH,0,0,2045,19.039,30,3,3,30,19.039,0,0,0.0,19.039,0.0,0.0,0.0,2115,40383033_3
40384209,1,2426158.8589378996,1,HO,0,0,710,11.157,20,3,3,20,11.157,0,85,11.157,11.157,0.0,0.0,0.0,730,40384209_1
40384209,1,2426158.8589378996,2,OW,0,0,855,15.198,50,3,3,50,15.198,0,455,0.0,15.198,0.0,0.0,0.0,945,40384209_1
