age,hh_income,male,bachelor_degree,job_type_1,job_type_2,job_type_3,job_type_4,motif,res_type
58,11,False,True,0,0,0,1,HOH,1
55,11,True,True,0,0,0,1,HOH,1
33,5,True,False,1,0,0,0,HWH,2
71,8,True,True,0,0,0,1,HOH,3
64,6,False,False,0,0,0,1,HWH,6
34,9,True,True,0,0,0,1,HWH,2
61,10,True,True,0,0,0,1,HWH,5
59,10,False,True,0,0,0,1,HWH,0
42,6,False,True,0,0,0,1,HOH,7
32,10,True,True,0,0,0,1,HWH,4
58,11,True,True,0,0,0,1,HWH,1
48,11,False,True,0,0,0,1,HWH,0
31,7,True,True,0,0,0,1,HWOH,2
56,11,True,False,0,0,0,1,HOH,3
45,10,False,True,0,0,0,1,HOH,4
42,10,True,True,0,0,0,1,H,1
61,1,True,True,1,0,0,0,HWH,5
50,1,True,False,0,0,1,0,H,2
62,6,True,True,0,0,0,1,HOWH,0
49,5,False,True,0,1,0,0,HWH,0
50,5,True,False,1,0,0,0,HWH,0
17,5,True,False,0,0,1,0,HWH,7
70,5,False,False,0,0,1,0,HOH,0
50,5,True,False,1,0,0,0,HOH,5
27,10,False,True,0,0,0,1,HOH,0
40,10,True,True,0,0,0,1,HWH,5
43,11,False,True,0,0,0,1,HOH,0
44,11,True,True,0,0,0,1,HOH,3
67,11,True,True,0,0,0,1,HWH,2
66,11,False,True,0,0,0,1,HWH,3
23,3,False,False,1,0,0,0,HWH,1
64,5,True,False,1,0,0,0,H,3
24,5,False,True,0,0,0,1,HWH,3
29,5,False,True,1,0,0,0,HWH,5
60,7,False,False,0,1,0,0,HWH,5
55,7,True,False,0,0,1,0,HWH,5
26,6,True,True,0,0,0,1,HWH,6
51,9,True,True,0,0,0,1,HOH,0
46,9,False,False,0,0,0,1,HOH,7
38,4,False,False,1,0,0,0,H,3
54,8,False,False,0,1,0,0,H,2
54,8,True,False,0,0,1,0,H,7
27,10,False,True,0,0,0,1,HOH,4
61,9,True,True,0,0,0,1,HOH,3
62,11,True,True,0,0,0,1,HWH,4
54,11,False,True,0,0,0,1,HWH,3
24,11,False,True,0,0,0,1,HOH,4
70,5,True,True,0,0,0,1,HWH,2
58,6,False,True,1,0,0,0,HOH,3
20,6,False,False,1,0,0,0,HOH,3
16,6,False,False,1,0,0,0,HOH,5
62,8,True,True,0,0,0,1,HWH,0
67,9,False,True,0,0,0,1,HWH,6
56,5,True,False,0,0,1,0,HWH,6
25,5,True,False,0,0,1,0,H,1
63,7,True,True,0,0,1,0,HWH,1
62,7,False,False,0,1,0,0,HWH,7
39,7,True,False,0,0,0,1,HWH,3
32,7,False,False,0,0,0,1,H,5
43,11,True,True,0,0,0,1,HWH,5
35,11,False,True,0,0,0,1,HWH,4
53,10,True,False,0,0,0,1,HOH,3
58,10,False,False,0,0,0,1,HWH,7
36,2,True,False,0,0,1,0,HWH,1
34,2,True,False,1,0,0,0,HWH,0
52,4,False,False,0,0,0,1,HWOH,2
55,7,True,False,0,0,1,0,HWH,5
