,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,weight,distance,net_type,activity,minutes
25710,5938,5941,42.3346741,-83.07838000000001,42.3353105,-83.0787444,0.9552262542408689,76.864191,walk,walking,0.9552262542408689
25711,5938,4858,42.3346741,-83.07838000000001,42.334620799999996,-83.0783495,0.07999480532392161,6.436942,walk,walking,0.07999480532392161
25712,4858,5938,42.334620799999996,-83.0783495,42.3346741,-83.07838000000001,0.07999480532392161,6.436942,walk,walking,0.07999480532392161
25713,4858,5940,42.334620799999996,-83.0783495,42.3345674,-83.0783191,0.08008245616215343,6.443995,walk,walking,0.08008245616215343
25714,5940,4858,42.3345674,-83.0783191,42.334620799999996,-83.0783495,0.08008245616215343,6.443995,walk,walking,0.08008245616215343
25715,5940,4945,42.3345674,-83.0783191,42.333122700000004,-83.0774784,2.1738800750618266,174.925608,walk,walking,2.1738800750618266
25716,4945,5940,42.333122700000004,-83.0774784,42.3345674,-83.0783191,2.1738800750618266,174.925608,walk,walking,2.1738800750618266
25717,4945,5933,42.333122700000004,-83.0774784,42.333023700000005,-83.07742940000001,0.14571594566716792,11.725325,walk,walking,0.14571594566716792
25718,5933,4945,42.333023700000005,-83.07742940000001,42.333122700000004,-83.0774784,0.14571594566716792,11.725325,walk,walking,0.14571594566716792
25719,5933,4944,42.333023700000005,-83.07742940000001,42.3329602,-83.0773987,0.09321084419700004,7.500397,walk,walking,0.09321084419700004
25720,4944,5933,42.3329602,-83.0773987,42.333023700000005,-83.07742940000001,0.09321084419700004,7.500397,walk,walking,0.09321084419700004
25725,5045,6403,42.3260406,-83.07602890000001,42.3260213,-83.0761212,0.09802497918401333,7.887776,walk,walking,0.09802497918401333
25726,6403,5045,42.3260213,-83.0761212,42.3260406,-83.07602890000001,0.09802497918401333,7.887776,walk,walking,0.09802497918401333
25727,6403,5418,42.3260213,-83.0761212,42.325893900000004,-83.0765437,0.4663006698398101,37.521815999999994,walk,walking,0.4663006698398101
25728,5418,6403,42.325893900000004,-83.0765437,42.3260213,-83.0761212,0.4663006698398101,37.521815999999994,walk,walking,0.4663006698398101
25729,5418,6401,42.325893900000004,-83.0765437,42.325767,-83.0769532,0.4537601376961985,36.512716999999995,walk,walking,0.4537601376961985
25730,6401,5418,42.325767,-83.0769532,42.325893900000004,-83.0765437,0.4537601376961985,36.512716999999995,walk,walking,0.4537601376961985
25731,6401,4922,42.325767,-83.0769532,42.325743200000005,-83.0770331,0.08803137932320082,7.083621000000001,walk,walking,0.08803137932320082
25732,4922,6401,42.325743200000005,-83.0770331,42.325767,-83.0769532,0.08803137932320082,7.083621000000001,walk,walking,0.08803137932320082
25733,4922,6418,42.325743200000005,-83.0770331,42.325717499999996,-83.0771129,0.08895250226801048,7.157741000000001,walk,walking,0.08895250226801048
25734,6418,4922,42.325717499999996,-83.0771129,42.325743200000005,-83.0770331,0.08895250226801048,7.157741000000001,walk,walking,0.08895250226801048
25735,6418,5573,42.325717499999996,-83.0771129,42.3255922,-83.077517,0.44781678203487146,36.034473,walk,walking,0.44781678203487146
25736,5573,6418,42.3255922,-83.077517,42.325717499999996,-83.0771129,0.44781678203487146,36.034473,walk,walking,0.44781678203487146
25737,5573,6413,42.3255922,-83.077517,42.3254659,-83.077924,0.45108517777474,36.297471,walk,walking,0.45108517777474
25738,6413,5573,42.3254659,-83.077924,42.3255922,-83.077517,0.45108517777474,36.297471,walk,walking,0.45108517777474
25739,6413,4887,42.3254659,-83.077924,42.325439700000004,-83.07801040000001,0.09543472479401494,7.679346000000001,walk,walking,0.09543472479401494
25740,4887,6413,42.325439700000004,-83.07801040000001,42.3254659,-83.077924,0.09543472479401494,7.679346000000001,walk,walking,0.09543472479401494
25741,4887,6411,42.325439700000004,-83.07801040000001,42.325414200000004,-83.0780913,0.08987581244485318,7.232036999999999,walk,walking,0.08987581244485318
25742,6411,4887,42.325414200000004,-83.0780913,42.325439700000004,-83.07801040000001,0.08987581244485318,7.232036999999999,walk,walking,0.08987581244485318
25743,6411,5426,42.325414200000004,-83.0780913,42.3252893,-83.0784941,0.4463796338871836,35.91883,walk,walking,0.4463796338871836
25744,5426,6411,42.3252893,-83.0784941,42.325414200000004,-83.0780913,0.4463796338871836,35.91883,walk,walking,0.4463796338871836
25745,5426,6415,42.3252893,-83.0784941,42.325006,-83.0794082,1.012924093106491,81.506963,walk,walking,1.012924093106491
25746,6415,5426,42.325006,-83.0794082,42.3252893,-83.0784941,1.012924093106491,81.506963,walk,walking,1.012924093106491
25747,6415,5046,42.325006,-83.0794082,42.3249753,-83.0795069,0.1094300023612164,8.805503999999999,walk,walking,0.1094300023612164
