income,age,children,sex,bach_degree,cars,activity_sched
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'hos', 'h', 'ex']"
gt35-lt100,20 to 35,no,female,no,two or more,"['h', 'w', 'h', 'w', 'h', 'ex', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'rec', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'rec', 'h']"
gt100,35 to 60,no,female,no,two or more,['h']
lt35,35 to 60,no,male,no,one,"['h', 'r', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'w', 'h', 'dp', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,['h']
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'r', 'w', 'ex', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'r', 'w', 'h', 'bg', 'h']"
gt35-lt100,above 60,no,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,yes,female,yes,one,"['h', 'dp', 'h', 'w', 'r', 'w', 'bg', 'w', 'dp', 'h']"
lt35,35 to 60,no,female,no,two or more,"['h', 'bg', 'h']"
lt35,20 to 35,no,male,no,two or more,"['h', 'w', 'bs', 'w', 'bg', 'h']"
gt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h', 'r', 'bs', 'r', 'h', 'bs', 'w']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'w', 'r', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'w', 'h', 'bg', 'h']"
gt35-lt100,35 to 60,no,female,no,two or more,"['h', 'w', 'h', 'bg', 'h']"
gt100,above 60,no,male,yes,one,"['h', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,['h']
lt35,35 to 60,no,male,no,none,"['h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'dp', 'bg', 'dp', 'r', 'h']"
gt35-lt100,20 to 35,no,female,no,one,"['h', 'w', 'r', 'w', 'h']"
lt35,20 to 35,no,male,no,two or more,"['h', 'w', 'h', 'bs', 'h', 'r', 'h', 'w']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'dp', 'h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'sch', 'h', 'w', 'h']"
lt35,35 to 60,no,female,no,one,"['h', 'rec', 'h', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'bg', 'r', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'bg', 'bs', 'h', 'w']"
gt100,20 to 35,yes,male,no,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h', 'ex', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'rec', 'rel', 'h', 'v', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'rel', 'rec', 'rel', 'h', 'v', 'h']"
lt35,above 60,no,male,no,two or more,"['h', 'rel', 'bs', 'bg', 'rel']"
lt35,35 to 60,no,female,no,two or more,"['h', 'v', 'bs', 'rel']"
gt35-lt100,20 to 35,no,female,no,two or more,['h']
gt100,35 to 60,no,female,yes,two or more,"['h', 'r', 'w', 'h', 'w', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'ex', 'h', 'w', 'bg', 'r', 'w', 'h', 'v', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'bg', 'h', 'bs', 'w', 'h', 'bs', 'h', 'r', 'h']"
lt35,35 to 60,no,male,yes,one,"['h', 'w', 'r', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,two or more,"['h', 'bg', 'h', 'bg', 'h']"
gt100,35 to 60,no,female,no,two or more,"['h', 'v', 'bs', 'h', 'bg', 'dp', 'h']"
gt35-lt100,35 to 60,no,male,yes,one,"['h', 'ex', 'h', 'w']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'h', 'r', 'rec', 'bs', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'bg', 'rec', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'bg', 'rec', 'h']"
lt35,35 to 60,no,male,no,one,"['h', 'w', 'r', 'bg', 'h']"
gt100,above 60,no,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'v', 'bg', 'h']"
lt35,35 to 60,no,female,yes,two or more,['h']
gt35-lt100,20 to 35,no,male,yes,none,"['h', 'r', 'w', 'r', 'w', 'r', 'w', 'bg', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'bg', 'r', 'h']"
gt35-lt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'dp', 'r', 'h']"
gt35-lt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'h']"
gt35-lt100,20 to 35,yes,female,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'bg', 'h']"
lt35,35 to 60,no,female,no,one,"['h', 'r', 'w', 'bs', 'bg', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,female,no,one,['h']
gt35-lt100,35 to 60,no,female,yes,one,"['h', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'h', 'dp', 'h', 'ex', 'bg', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'dp', 'ex', 'dp', 'h']"
gt35-lt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,19 and under,yes,female,no,two or more,"['h', 'sch', 'h', 'w', 'h']"
lt35,20 to 35,no,female,no,one,"['h', 'ex', 'dp', 'ex', 'bg', 'r', 'h', 'w', 'h', 'ex', 'h']"
gt35-lt100,above 60,no,male,yes,two or more,"['h', 'w', 'v', 'w', 'ex', 'w', 'h', 'r', 'h']"
gt35-lt100,35 to 60,yes,female,yes,two or more,"['h', 'rec', 'bg', 'r', 'bs', 'h']"
gt35-lt100,35 to 60,no,male,no,one,['h']
gt35-lt100,20 to 35,no,female,yes,one,"['h', 'v', 'h']"
gt35-lt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h', 'v', 'h']"
gt35-lt100,20 to 35,no,male,no,two or more,"['h', 'w', 'h', 'v', 'h']"
gt100,35 to 60,yes,female,no,two or more,"['h', 'w', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'w', 'h']"
gt100,19 and under,yes,female,no,two or more,"['h', 'sch', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'w', 'dp', 'h', 'dp', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'dp', 'w', 'h', 'dp', 'h', 'w', 'bg', 'h']"
lt35,35 to 60,no,female,yes,one,"['h', 'w', 'bs', 'w', 'r', 'hos', 'w', 'bg', 'h']"
gt100,20 to 35,yes,male,yes,two or more,"['h', 'w', 'hos', 'w', 'h']"
gt100,20 to 35,yes,female,yes,two or more,"['h', 'w', 'r', 'w', 'bg', 'h']"
gt35-lt100,35 to 60,yes,female,yes,one,"['h', 'bs', 'ex', 'bs', 'bg', 'bs', 'bg', 'r', 'h', 'v', 'h', 'r', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'r', 'bg', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'bg', 'h', 'r', 'rec', 'h']"
lt35,20 to 35,no,female,yes,one,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,female,no,two or more,"['h', 'bs', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,two or more,"['h', 'dp', 'w', 'h']"
lt35,above 60,no,male,no,one,"['h', 'w', 'h']"
gt35-lt100,above 60,no,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,above 60,no,female,yes,two or more,"['h', 'bg', 'h']"
lt35,19 and under,yes,female,no,two or more,"['h', 'dp', 'h', 'sch', 'w', 'h']"
lt35,35 to 60,yes,male,no,two or more,"['h', 'w', 'h', 'dp', 'h']"
gt100,20 to 35,no,female,yes,two or more,"['h', 'w', 'h']"
gt100,35 to 60,no,male,no,two or more,"['h', 'bs', 'h', 'bg', 'h']"
gt100,above 60,no,female,yes,two or more,"['h', 'w', 'r', 'h']"
gt100,above 60,no,male,yes,two or more,['h']
gt100,35 to 60,no,male,yes,two or more,"['h', 'ex', 'bg', 'w', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'w', 'dp', 'r', 'dp', 'bg', 'h']"
lt35,35 to 60,no,male,no,two or more,"['h', 'w', 'h']"
lt35,20 to 35,no,female,no,two or more,"['h', 'bg', 'bs', 'w', 'h']"
gt35-lt100,35 to 60,no,male,yes,two or more,"['h', 'sch', 'bg', 'h']"
gt35-lt100,35 to 60,yes,female,no,one,"['h', 'bg', 'h', 'dp', 'h']"
gt35-lt100,35 to 60,yes,male,no,one,"['h', 'dp', 'w', 'h']"
gt35-lt100,19 and under,yes,male,no,one,"['h', 'sch', 'h', 'w', 'h']"
gt35-lt100,35 to 60,no,male,no,one,"['h', 'w', 'h', 'w', 'bg', 'h']"
gt100,35 to 60,no,male,yes,two or more,"['h', 'rel', 'h', 'ex', 'h', 'v', 'h']"
gt100,35 to 60,no,female,yes,two or more,"['h', 'bg', 'h', 'v', 'h']"
gt100,20 to 35,no,male,yes,two or more,"['h', 'rel', 'h', 'rec', 'h', 'v', 'h']"
gt100,35 to 60,yes,female,yes,two or more,"['h', 'rec', 'h']"
gt100,35 to 60,yes,male,yes,two or more,"['h', 'bg', 'h', 'bg', 'bs', 'h', 'bs', 'v', 'h', 'rec', 'h', 'rec', 'h']"
gt100,19 and under,yes,male,no,two or more,"['h', 'w', 'h']"
gt35-lt100,35 to 60,yes,male,no,one,"['h', 'w', 'bg', 'h']"
