aNode_bNode,aNodeLat,aNodeLon,aNodes,active_net,bNodeLat,bNodeLon,bNodes,cycle_speed_m_s,distance,drive_net,drive_speed,drive_speed_m_s,name,oneway,osmid,ref,speed,type,walk_speed_m_s,cycle_time_minutes,walk_time_minutes,drive_time_minutes
6256,42.3252712,-83.0647621,5831029306,True,42.3253564,-83.0645672,5831029307,4.167,18.614022710425136,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.07445013483091407,0.2794898304868639,0.027576329941370572
6257,42.3251882,-83.0649519,5831029305,True,42.3252712,-83.0647621,5831029306,4.167,18.128629559830365,True,25.0,11.25,[],[],616818514,[],[],service,1.11,0.07250871754191811,0.27220164504249794,0.026857228977526466
6258,42.3252712,-83.0647621,5831029306,True,42.3251004,-83.0646358,5831029301,4.167,21.645084915632733,True,25.0,11.25,[],[],616818515,[],[],service,1.11,0.08657341378942779,0.3250012750095005,0.03206679246760405
6259,42.3251146,-83.0643732,5831029308,True,42.3253564,-83.0645672,5831029307,4.167,31.261335155634185,True,25.0,11.25,[],[],616818516,[],[],service,1.11,0.1250353377955131,0.469389416751264,0.046313089119458056
6260,42.3253164,-83.0642386,5831029310,True,42.3253010,-83.0642787,5831029309,4.167,3.7148449142910067,True,25.0,11.25,[],[],616818517,[],[],service,1.11,0.014858191001883876,0.05577845216653163,0.005503473947097787
6261,42.3253470,-83.0641599,5831029311,True,42.3253164,-83.0642386,5831029310,4.167,7.310098192183469,True,25.0,11.25,[],[],616818517,[],[],service,1.11,0.029238053724435924,0.1097612341168689,0.010829775099531065
6262,42.3253659,-83.0641091,5831029312,True,42.3253470,-83.0641599,5831029311,4.167,4.675244594660312,True,25.0,11.25,[],[],616818517,[],[],service,1.11,0.018699482420047646,0.07019886778769237,0.006926288288385648
6263,42.3252457,-83.0651987,5831029315,True,42.3253023,-83.0652403,5831029314,4.167,7.162809180443563,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.02864894480618976,0.1075496873940475,0.010611569156212686
6264,42.3249405,-83.0649592,5831029316,True,42.3252457,-83.0651987,5831029315,4.167,39.23482573244022,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.15692674878985768,0.5891114974840873,0.05812566775176329
6265,42.3248876,-83.0649748,5831029317,True,42.3249405,-83.0649592,5831029316,4.167,6.020397436678974,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.024079663373646008,0.0903963579080927,0.008919107313598481
6266,42.3246181,-83.0655944,5831029318,True,42.3248876,-83.0649748,5831029317,4.167,59.098978165488546,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.23637700250175406,0.8873720445268549,0.0875540417266497
6267,42.3246214,-83.0656884,5831029319,True,42.3246181,-83.0655944,5831029318,4.167,7.736546687689221,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.030943711253856577,0.11616436468001833,0.011461550648428475
6268,42.3249269,-83.0659357,5831029320,True,42.3246214,-83.0656884,5831029319,4.167,39.589184351560974,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.15834406988065344,0.5944321974708854,0.058650643483794035
6269,42.3249838,-83.0659816,5831029321,True,42.3249269,-83.0659357,5831029320,4.167,7.366809134338159,True,25.0,11.25,[],[],616818518,[],[],service,1.11,0.029464879347004876,0.11061274976483722,0.010913791310130606
6270,42.3248646,-83.0660812,5831029331,True,42.3249194,-83.0661314,5831029330,4.167,7.359515285142249,True,25.0,11.25,[],[],616818522,[],[],service,1.11,0.029435706284066273,0.11050323250964338,0.010902985607618147
6271,42.3247768,-83.0660046,5831029332,True,42.3248646,-83.0660812,5831029331,4.167,11.617705545778033,True,25.0,11.25,[],[],616818522,[],[],service,1.11,0.046467104814726955,0.17444002320988036,0.017211415623374863
6272,42.3243606,-83.0656746,5831029333,True,42.3247768,-83.0660046,5831029332,4.167,53.64508699231907,True,25.0,11.25,[],[],616818522,[],[],service,1.11,0.21456318291464313,0.8054817866714574,0.0794742029515838
6273,42.3246481,-83.0665869,5831029345,True,42.3247048,-83.0666307,5831029339,4.167,7.260575713710913,True,25.0,11.25,[],[],616818525,[],[],service,1.11,0.029039979656471135,0.1090176533590227,0.010756408464756907
6274,42.3245584,-83.0665176,5831029340,True,42.3246481,-83.0665869,5831029345,4.167,11.486634499722147,True,25.0,11.25,[],[],616818525,[],[],service,1.11,0.045942862569882996,0.1724719894853175,0.017017236295884662
