,aNode_bNode,aNodes,bNodes,aNodeLat,aNodeLon,bNodeLat,bNodeLon,type,name,speed,ref,osmid,oneway,distance,activity,minutes
3562,3755258293_62615804,3755258293,62615804,42.334254,-83.0795218,42.3344129,-83.0790141,residential,Perry Street,[],[],8733880,[],45.3184087746104,driving,0.09067308678393436
3563,4608468625_3755258293,4608468625,3755258293,42.3344129,-83.0790141,42.3345875,-83.0784558,residential,Perry Street,[],[],8733880,[],49.8290345864919,driving,0.09969794835232473
3564,62615807_4608468625,62615807,4608468625,42.3345875,-83.0784558,42.334620799999996,-83.0783495,residential,Perry Street,[],[],8733880,[],9.489845506512241,driving,0.01898728592739544
3565,4608468628_62615807,4608468628,62615807,42.334620799999996,-83.0783495,42.3346533,-83.0782458,residential,Perry Street,[],[],8733880,[],9.258357200367588,driving,0.018524124050355317
3566,3755258303_4608468628,3755258303,4608468628,42.3346533,-83.0782458,42.3348255,-83.0776829,residential,Perry Street,[],[],8733880,[],50.074667315075885,driving,0.1001894103943095
3567,62615808_3755258303,62615808,3755258303,42.3348255,-83.0776829,42.335026,-83.07705440000001,residential,Perry Street,[],[],8733880,[],56.26656786147973,driving,0.11257816698975535
3568,5917153168_3864350194,5917153168,3864350194,42.33021,-83.0783757,42.330270299999995,-83.07841040000001,residential,16th Street,[],[],8734946,[],7.286585574965768,driving,0.014579002751031949
3569,2760041224_5917153168,2760041224,5917153168,42.330270299999995,-83.07841040000001,42.331063,-83.07886040000001,residential,16th Street,[],[],8734946,[],95.59167588053984,driving,0.19125985570336101
3570,62992692_2760041224,62992692,2760041224,42.331063,-83.07886040000001,42.331146000000004,-83.078907,residential,16th Street,[],[],8734946,[],9.992574761346754,driving,0.019993146781406068
3571,5917153169_62992692,5917153169,62992692,42.331146000000004,-83.078907,42.331207299999996,-83.0789466,residential,16th Street,[],[],8734946,[],7.55365469713807,driving,0.015113354736170608
3572,62992694_5917153169,62992694,5917153169,42.331207299999996,-83.0789466,42.331352,-83.07904,residential,16th Street,[],[],8734946,[],17.827847660510347,driving,0.03566996330634323
3573,5589589233_62628367,5589589233,62628367,42.3289126,-83.0788171,42.330043700000004,-83.0784557,residential,16th Avenue,[],[],8734947,[],129.23371870992028,driving,0.258570865766147
3574,3864350194_5589589233,3864350194,5589589233,42.330043700000004,-83.0784557,42.33021,-83.0783757,residential,16th Avenue,[],[],8734947,[],19.626293943323155,driving,0.0392682952047282
3575,62629016_62629015,62629016,62629015,42.32042,-83.07517840000001,42.321384,-83.0757251,residential,18th Street,[],[],8735014,no,116.23415182737808,driving,0.23256132818603056
3576,5908347492_62629016,5908347492,62629016,42.321384,-83.0757251,42.321437700000004,-83.0757555,residential,18th Street,[],[],8735014,no,6.473141518644785,driving,0.012951463622738664
3577,1217710845_5908347492,1217710845,5908347492,42.321437700000004,-83.0757555,42.3220911,-83.0761261,residential,18th Street,[],[],8735014,no,78.78491470581811,driving,0.15763288256466207
3578,62629017_1217710845,62629017,1217710845,42.3220911,-83.0761261,42.3221723,-83.0761722,residential,18th Street,[],[],8735014,no,9.792244498500542,driving,0.019592325927372034
3579,3733790818_62629017,3733790818,62629017,42.3221723,-83.0761722,42.322604399999996,-83.07641720000001,residential,18th Street,[],[],8735014,no,52.09858893169598,driving,0.10423887341275706
3580,5908347485_3733790818,5908347485,3733790818,42.322604399999996,-83.07641720000001,42.3230995,-83.076698,residential,18th Street,[],[],8735014,no,59.6969903271695,driving,0.11944175735728191
3581,62629018_5908347485,62629018,5908347485,42.3230995,-83.076698,42.3231492,-83.0767262,residential,18th Street,[],[],8735014,no,5.992993733564711,driving,0.01199078378064168
3582,853052790_62629018,853052790,62629018,42.3231492,-83.0767262,42.3232871,-83.07680440000001,residential,18th Street,[],[],8735014,no,16.627010608321882,driving,0.033267328147902925
3583,5908309262_853052790,5908309262,853052790,42.3232871,-83.07680440000001,42.323344299999995,-83.0768369,residential,18th Street,[],[],8735014,no,6.898780958763317,driving,0.013803083150786948
3584,929766902_5908309262,929766902,5908309262,42.323344299999995,-83.0768369,42.3233466,-83.0768382,residential,18th Street,[],[],8735014,no,0.2771818975980188,driving,0.0005545856294478167
3585,3379224384_929766902,3379224384,929766902,42.3233466,-83.0768382,42.3235641,-83.0769615,residential,18th Street,[],[],8735014,no,26.2233515675171,driving,0.05246769021111865
3586,5908309278_3379224384,5908309278,3379224384,42.3235641,-83.0769615,42.3253817,-83.07799240000001,residential,18th Street,[],[],8735014,no,219.1584658620692,driving,0.4384923286556006
3587,62629023_5908309278,62629023,5908309278,42.3253817,-83.07799240000001,42.325435399999996,-83.0780228,residential,18th Street,[],[],8735014,no,6.473080204124402,driving,0.012951340944626655
3588,5908309282_62629023,5908309282,62629023,42.325435399999996,-83.0780228,42.3254931,-83.0780555,residential,18th Street,[],[],8735014,no,6.956374872411777,driving,0.013918317071652215
3589,1217711455_5908309282,1217711455,5908309282,42.3254931,-83.0780555,42.3254995,-83.07805909999999,residential,18th Street,[],[],8735014,no,0.7707347024337772,driving,0.0015420862393632996
3590,1217711629_1217711455,1217711629,1217711455,42.3254995,-83.07805909999999,42.325877500000004,-83.0782735,residential,18th Street,[],[],8735014,no,45.57772977622704,driving,0.09119193632698487
3591,1217710910_1217711629,1217710910,1217711629,42.325877500000004,-83.0782735,42.32594279999999,-83.0783106,residential,18th Street,[],[],8735014,no,7.875585158382371,driving,0.015757473306087177
3592,62629028_1217710910,62629028,1217710910,42.32594279999999,-83.0783106,42.327012100000005,-83.0789123,residential,18th Street,[],[],8735014,no,128.77951925396437,driving,0.2576621033492684
3593,3324296808_62629049,3324296808,62629049,42.331345,-83.081932,42.3314944,-83.0820155,residential,18th Street,[],[],8735016,[],17.97466993243354,driving,0.03596372535500908
3594,5859855436_3324296808,5859855436,3324296808,42.3314944,-83.0820155,42.3315388,-83.08204029999999,residential,18th Street,[],[],8735016,[],5.341389661227865,driving,0.010687054144113375
3595,62629050_5859855436,62629050,5859855436,42.3315388,-83.08204029999999,42.331744,-83.082155,residential,18th Street,[],[],8735016,[],24.688504213227954,driving,0.04939676713330923
3596,5917196120_62649116,5917196120,62649116,42.3295038,-83.0605144,42.329474700000006,-83.06058309999999,residential,Porter Street,[],[],8737179,[],6.508767789978834,driving,0.0130227446778288
3597,5917196123_5917196120,5917196123,5917196120,42.329474700000006,-83.06058309999999,42.328988200000005,-83.0617142,residential,Porter Street,[],[],8737179,[],107.57363417359645,driving,0.21523336169186963
3598,62649118_5917196123,62649118,5917196123,42.328988200000005,-83.0617142,42.328959999999995,-83.0617796,residential,Porter Street,[],[],8737179,[],6.223861969442881,driving,0.01245270502089412
