"","P000","P001","P002","P003","P004","P005","P006","P007","P008","P009","P010","P011","P012","P013","P014","P015","P016","P017","P018","P019","P020","P021","P022","P023","id","cluster","cluster_name"
"128","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","X","X","H","H","H","H","H","H","H",128,0,"Homemakers"
"129","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H",129,1,"9-to-5ers"
"130","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",130,5,"Work-Life Balancers"
"131","H","H","H","H","H","H","H","H","H","H","H","G","V","V","H","H","H","H","H","H","H","H","H","H",131,0,"Homemakers"
"132","H","H","H","H","H","H","H","H","H","H","S","E","H","H","H","H","H","H","H","H","H","H","H","H",132,0,"Homemakers"
"133","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",133,1,"9-to-5ers"
"134","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H",134,1,"9-to-5ers"
"135","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H",135,1,"9-to-5ers"
"136","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",136,1,"9-to-5ers"
"137","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","Z","Z","H","H","H","H",137,0,"Homemakers"
"138","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","G","H","H","H","H","H","H",138,1,"9-to-5ers"
"139","H","H","H","H","H","H","H","C","C","C","C","C","C","C","V","V","V","H","H","H","H","H","H","H",139,6,"Students"
"140","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",140,0,"Homemakers"
"141","H","H","H","H","H","H","H","H","H","H","H","H","E","W","W","W","W","W","W","W","W","H","H","H",141,3,"Night-shifters"
"142","H","H","H","H","H","H","H","H","G","S","G","G","G","H","H","H","H","H","Z","Z","Z","Z","H","H",142,0,"Homemakers"
"143","H","H","H","H","H","H","H","H","G","S","G","G","G","H","H","H","H","H","Z","Z","Z","Z","H","H",143,0,"Homemakers"
"144","H","H","H","H","H","H","H","H","H","H","H","H","E","E","H","H","H","H","D","H","H","H","H","H",144,0,"Homemakers"
"145","H","H","H","H","H","H","W","W","W","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H",145,1,"9-to-5ers"
"146","H","H","H","H","H","H","H","W","W","W","W","W","W","W","H","H","H","H","H","H","H","H","H","H",146,1,"9-to-5ers"
"147","H","H","H","H","H","H","H","X","X","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",147,0,"Homemakers"
"148","H","H","H","H","H","H","H","H","H","H","H","H","H","H","S","H","H","H","H","H","H","H","H","H",148,0,"Homemakers"
"149","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","W","W","W","W","W","W","W","W","H",149,3,"Night-shifters"
"150","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H","H",150,0,"Homemakers"
