	Von	Name	Nach	Name	Nr. 1007
474	234	Elbbrücken	241	HafenC/Dalmannkai	1058
475	234	Elbbrücken	242	Billhorner Brückenst	51,28
476	234	Elbbrücken	243	Eekholtesweg	0,01
477	234	Elbbrücken	244	U Merkenstr	30,87
478	234	Elbbrücken	245	Reclamstr	49,95
479	234	Elbbrücken	246	Billstedter Hauptstr	20,49
480	234	Elbbrücken	247	Glinder Berg	73,98
481	234	Elbbrücken	248	HafenCity/HanseaticTC	109,76
482	234	Elbbrücken	249	Magdeburger Hafen	101,83
483	234	Elbbrücken	250	U Steinfurther Allee	18,49
484	234	Elbbrücken	251	Billerhuder Insel	25,3
485	234	Elbbrücken	252	Breiter Kamp	40,63
486	234	Elbbrücken	253	Fährterminal (Englan	109,99
487	234	Elbbrücken	254	Neumühlen/Övelgönne	195,55
488	234	Elbbrücken	255	Oststeinbek, Ort	46,54
489	234	Elbbrücken	256	Glinde, Markt	40,63
490	234	Elbbrücken	257	Grüne Brücke	127,33
491	234	Elbbrücken	258	Kohlbergen	43,31
492	234	Elbbrücken	259	U Baumwall	86,16
493	234	Elbbrücken	260	Neumühler Kirchenweg	206,98
494	234	Elbbrücken	261	Speicherstadt	380,63
495	234	Elbbrücken	262	Nagelsweg	67,05
