income,age,children,sex,bach_degree,cars,activities,start_times
lt35,35 to 60,no,female,no,one,H_R_H_G_H,39780_68460_72000_75600
gt100,35 to 60,yes,male,yes,two or more,H_W_G_E_H,25380_61260_64860_64920
gt100,35 to 60,yes,female,no,two or more,H_W_G_S_H_W,21600_25200_25440_28860_79440
gt100,20 to 35,yes,male,no,two or more,H_W_H,25260_61260
gt100,19 and under,yes,male,no,two or more,H_W_H_X_H,25260_61320_64800_68580
gt100,20 to 35,no,female,yes,two or more,H_R_Z_H_V_H,29100_32520_50400_61380_72000
gt100,20 to 35,no,male,yes,two or more,H_Z_R_Z_H_V_H,25500_29100_32520_50400_61380_72000
lt35,above 60,no,male,no,two or more,H_Z_S_G_Z,46980_50580_54000_54120
lt35,35 to 60,no,female,no,two or more,H_V_S_Z,28860_32460_54000
gt35-lt100,20 to 35,no,female,no,two or more,H,
gt100,35 to 60,no,female,yes,two or more,H_E_W_H_W_H,29100_32400_39600_50400_61200
gt100,20 to 35,no,male,yes,two or more,H_W_H,28980_61200
gt100,35 to 60,no,male,yes,two or more,H_X_H_W_G_E_W_H_V_H,14640_18120_25200_43200_43320_43440_57840_68460_72060
gt100,35 to 60,no,female,yes,two or more,H_W_G_H_S_W_H_S_H_E_H,28980_39660_39780_43260_43320_61380_68400_68520_68640_72060
lt35,35 to 60,no,male,yes,one,H_W_E_W_H,25440_46860_50400_61380
gt35-lt100,35 to 60,no,male,no,two or more,H_G_H_G_H,57780_64920_65100_68460
gt100,35 to 60,no,female,no,two or more,H_V_S_H_G_D_H,28800_75600_43380_50400_50640_72000
gt35-lt100,35 to 60,no,male,yes,one,H_X_H_W,46920_50640_64920
gt35-lt100,above 60,no,male,yes,two or more,H_W_H_E_R_S_H,28860_47100_61380_64860_68460_72000
gt35-lt100,35 to 60,no,male,yes,two or more,H_W_H,32520_64800
gt100,20 to 35,no,female,yes,two or more,H_G_R_H,43380_61440_64980
gt100,20 to 35,no,male,yes,two or more,H_G_R_H,43380_61440_64980
lt35,35 to 60,no,male,no,one,H_W_E_G_H,39900_68460_68700_72000
gt100,above 60,no,male,yes,two or more,H_W_H,18060_54240
gt35-lt100,35 to 60,yes,male,yes,two or more,H_W_H,21600_61260
gt35-lt100,35 to 60,yes,female,no,two or more,H_V_G_H,39660_43260_43440
lt35,35 to 60,no,female,yes,two or more,H,
gt35-lt100,20 to 35,no,male,yes,none,H_E_W_E_W_E_W_G_H,28920_28980_32640_32700_43380_43500_61380_68460
gt35-lt100,above 60,no,male,yes,two or more,H_W_G_E_H,21900_61320_64860_68400
gt35-lt100,35 to 60,no,female,yes,two or more,H_W_D_E_H,29040_61500_64860_68400
gt35-lt100,20 to 35,yes,female,yes,two or more,H_W_H,25260_57660
gt35-lt100,20 to 35,yes,female,no,two or more,H_W_H,18240_50520
gt35-lt100,35 to 60,yes,male,no,two or more,H_W_H,21660_61260
gt35-lt100,35 to 60,no,female,yes,one,H_W_G_H,21780_54300_61200
lt35,35 to 60,no,female,no,one,H_E_W_S_G_H,28800_28800_61200_61500_64920
gt35-lt100,above 60,no,male,no,two or more,H_W_H,18240_54060
gt100,35 to 60,no,female,no,one,H,
gt35-lt100,35 to 60,no,female,yes,one,H_W_G_H,21780_54180_54240
gt35-lt100,35 to 60,yes,female,yes,two or more,H_W_H_D_H_X_G_D_H,21840_54000_57720_61200_61380_68520_68700_72000
gt35-lt100,35 to 60,yes,male,no,two or more,H_D_X_D_H,21900_25200_28920_29100
gt35-lt100,19 and under,yes,male,no,two or more,H_W_H,28980_72000
gt35-lt100,19 and under,yes,female,no,two or more,H_C_H_W_H,21900_54060_57720_61200
lt35,20 to 35,no,female,no,one,H_X_D_X_G_E_H_W_H_X_H,29040_32640_32700_39720_39900_43440_54000_68400_68640_72060
gt35-lt100,above 60,no,male,yes,two or more,H_W_V_W_X_W_H_E_H,28800_32580_39600_43380_50460_61200_61440_68460
gt35-lt100,35 to 60,yes,female,yes,two or more,H_R_G_E_S_H,50400_57780_61200_64980_65100
gt35-lt100,35 to 60,no,male,no,one,H,
gt35-lt100,20 to 35,no,female,yes,one,H_V_H,68400_72000
gt35-lt100,20 to 35,no,female,yes,two or more,H_W_H_V_H,28920_61380_68400_75660
gt35-lt100,20 to 35,no,male,no,two or more,H_W_H_V_H,25440_61260_72180_75780
gt100,35 to 60,yes,female,no,two or more,H_W_G_H,25260_68460_68640
gt100,35 to 60,yes,male,yes,two or more,H_W_H,21840_54180
gt100,19 and under,yes,female,no,two or more,H_C_H,25440_54000
gt100,35 to 60,yes,female,yes,two or more,H_W_D_H_D_H,25260_54000_54240_57900_61200
gt100,35 to 60,yes,male,yes,two or more,H_D_W_H_D_H_W_G_H,25320_25380_46800_50640_54060_57900_72000_72120
lt35,35 to 60,no,female,yes,one,H_W_S_W_E_P_W_G_H,25440_28800_29040_39900_43500_50400_65100_68520
gt100,20 to 35,yes,male,yes,two or more,H_W_P_W_H,25440_39660_43380_61200
gt100,20 to 35,yes,female,yes,two or more,H_W_E_W_G_H,29040_43380_46800_57780_61320
gt35-lt100,35 to 60,yes,female,yes,one,H_S_X_S_G_S_G_E_H_V_H_E_H,39600_43200_43440_46920_54000_54240_54300_57660_65040_68580_72180_75660
gt100,35 to 60,yes,female,yes,two or more,H_E_G_H,61380_72000_72300
gt100,35 to 60,yes,male,yes,two or more,H_G_H_E_R_H,39600_43200_61200_68400_60
lt35,20 to 35,no,female,yes,one,H_W_H,54000_75780
gt35-lt100,35 to 60,yes,female,no,two or more,H_S_W_H,39600_39660_72300
gt35-lt100,35 to 60,yes,male,no,two or more,H_D_W_H,54180_57720_0
lt35,above 60,no,male,no,one,H_W_H,29040_61380
gt35-lt100,above 60,no,male,no,two or more,H_W_H,28980_61380
gt35-lt100,above 60,no,female,yes,two or more,H_G_H,36240_39840
lt35,19 and under,yes,female,no,two or more,H_D_H_C_W_H,25200_28800_39600_50580_75780
lt35,35 to 60,yes,male,no,two or more,H_W_H_D_H,18060_50400_54240_57600
gt100,20 to 35,no,female,yes,two or more,H_W_H,28980_64860
gt100,35 to 60,no,male,no,two or more,H_S_H_G_H,32400_36000_43260_43380
gt100,above 60,no,female,yes,two or more,H_W_E_H,21720_57780_64860
gt100,above 60,no,male,yes,two or more,H,
gt100,35 to 60,no,male,yes,two or more,H_X_G_W_H,21660_28980_29040_61200
gt100,35 to 60,no,female,yes,two or more,H_W_D_E_D_G_H,25380_43200_43380_46980_46980_54000
lt35,35 to 60,no,male,no,two or more,H_W_H,14520_50580
lt35,20 to 35,no,female,no,two or more,H_G_S_W_H,18120_32400_32580_54000
gt35-lt100,35 to 60,no,male,yes,two or more,H_C_G_H,25440_46800_54240
gt35-lt100,35 to 60,yes,female,no,one,H_G_H_D_H,32580_36180_54000_54240
gt35-lt100,35 to 60,yes,male,no,one,H_D_W_H,28980_29040_65040
gt35-lt100,19 and under,yes,male,no,one,H_C_H_W_H,25380_57600_57900_79200
gt35-lt100,35 to 60,no,male,no,one,H_W_H_W_G_H,25440_46800_57600_79200_79260
gt100,35 to 60,no,male,yes,two or more,H_Z_H_X_H_V_H,21840_25440_28800_32700_46860_75780
gt100,35 to 60,no,female,yes,two or more,H_G_H_V_H,25440_29040_46860_75780
gt100,20 to 35,no,male,yes,two or more,H_Z_H_R_H_V_H,25260_25440_32640_39780_46860_75780
gt100,35 to 60,yes,female,yes,two or more,H_R_H,64980_79380
gt100,35 to 60,yes,male,yes,two or more,H_G_H_G_S_H_S_V_H_R_H_R_H,25200_28800_28920_29040_29100_36240_39600_43200_54240_57780_64980_79380
gt100,19 and under,yes,male,no,two or more,H_W_H,39900_61200
gt35-lt100,35 to 60,yes,male,no,one,H_W_G_H,39780_54000_57600
gt35-lt100,35 to 60,no,female,no,two or more,H_V_H_X_V_H_V_H_V_H,28860_28920_28920_39720_43380_61380_61380_65100_68460
gt100,above 60,yes,male,no,two or more,H_W_H_S_G_H,32700_57660_57720_61260_61440
gt100,above 60,yes,female,no,two or more,H_W_H_W_H_G_H,32700_43440_50400_57660_64920_72060
gt100,35 to 60,yes,male,yes,two or more,H_W_H,21780_72000
gt100,20 to 35,yes,female,yes,two or more,H_W_H_D_H,21660_57780_61320_64980
